review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
This is my go to music streaming app. Decent (not great) sound quality on home theater. No commercials and plays pretty much anything I want if I search for it. Also builds good stations relevant to my searches. I don't like Apple but apply Music is a good streaming app.,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Santa Cruz, Bolivia",female,2018-02-22
It dropped Vultures first. I'll reinstall if that happens for Vultures 2 too,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Montreal, Canada",male,2017-04-11
Kanye drops on here so it's literally the best,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","San Diego, United States",male,2016-11-14
Godbless thank you youu ol,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Kampala, Uganda",male,2016-07-14
Best music app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Medellín, Colombia",female,2018-03-07
ok,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Glasgow, United Kingdom",male,2015-09-30
Good app but I don't get it well,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Prague, Czech Republic",male,2015-09-26
Super,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Monterrey, Mexico",male,2017-07-02
"Ironically, the Best Music Streaming App on Android. I have tried basically all of them. I used to subscribe to Google Play Music, until it was closed down for the abomination that is YouTube Music. Spotify is too busy trying to sell me on podcasts. Amazon's app was dreadful, even if the catalog was good. Deezer? Meh. Pandora? Nice, but has like 9 songs. Tidal? Good quality, but lacks Apple's catalog.",positivo,positivo,3,"lossless, powerful, stable, regular, suggestions, personalized, choice, smooth, options, product","Lagos, Nigeria",male,2016-06-10
Application of music,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Stockholm, Sweden",male,2015-11-20
"Coming from iPhone and im surprised how well it works!? All the Song I bought in iTunes can be played without problems, meanwhile the stock music App of Android couldnt sadly. Thank you for the App!",positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Auckland, New Zealand",female,2018-07-08
Best,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Port Moresby, Papua New Guinea",female,2018-05-16
Works as advertised. No issues so far.,positivo,positivo,2,"android, devices, platform, syncs, support, clear, feature, sweet, affordable, access","San Francisco, United States",male,2017-09-07
😮‍💨,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Guadalajara, Mexico",male,2016-09-20
Love everything about this app.,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Phuket, Thailand",male,2016-03-30
Love it,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Seoul, South Korea",male,2016-01-04
Good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Chicago, United States",female,2017-10-29
Nice,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Dallas, United States",male,2017-01-06
"I Know That Pepole Are Beffing Over Apple For Being A Scamy Expensive And Low Quality Company, But You Sould Get This App, And So As The Haters. This Has No Ads Awesome Music Mixing And Wonderfull Dolby Surround sound Compatibility! So Get This App For Yourself And Give It A Shot, Because The The Subscription Is Worth Every Penny.",positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Denver, United States",male,2017-02-02
Love it more than 👌,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Bangkok, Thailand",male,2016-04-04
Yehlisa jnsjsn,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Suva, Fiji",female,2018-04-24
Best,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Chicago, United States",male,2017-05-07
"Great deal 4 music eye just don't understand how artists are getting paid, probably just music slaves",positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","San Antonio, United States",male,2017-06-01
If i had one,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","San Francisco, United States",female,2017-10-14
"good quality, that's enough for me",positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Quebec City, Canada",male,2017-08-09
I downloaded this on an Android,positivo,positivo,2,"android, devices, platform, syncs, support, clear, feature, sweet, affordable, access","Lyon, France",male,2015-08-04
"Great sounding technology generating from 🍎 Dolby atoms lossless Eq modes , create station, lossless upto hi res when using dac",positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Suva, Fiji",female,2018-04-16
Everything works exactly like how it works on my ipad. The only thing I want to be added is the *sing* feature.,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Guadalajara, Mexico",male,2017-01-08
Nicy,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Jakarta, Indonesia",male,2016-03-07
Still the best app for my music. Wasn't happy about them removing my previously made playlists but when I realized they just redistributed them in yearly mixes and not lost ..I was ok.,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","La Paz, Bolivia",female,2018-01-17
Nice,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Melbourne, Australia",female,2018-05-23
Like,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Fortaleza, Brazil",female,2017-11-21
Never used,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Cali, Colombia",female,2018-03-13
Nice,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Marrakesh, Morocco",male,2016-06-24
"Сервис прекрасный. Вот бы еще клиент на Linux и не удаляли молча аккаунты, а так очень круто",positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Montreal, Canada",male,2017-09-06
Good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Santa Cruz, Bolivia",female,2018-01-18
It is cool,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Philadelphia, United States",male,2017-09-17
I'm want to download the songs this application,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","San Francisco, United States",male,2017-03-13
Good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Boston, United States",male,2017-04-01
So rel,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","New York, United States",male,2017-04-10
Favorite,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Casablanca, Morocco",male,2016-05-15
"Huge song selection, absolutely love their live radio stations.",positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Brussels, Belgium",male,2015-08-03
Very nice,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Cairo, Egypt",male,2016-05-24
Works very well. I made the switch from apple to android and was able to bring my vast music library with me thankfully.,positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Wellington, New Zealand",female,2018-06-24
Made switching from an iPhone that much easier,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Cali, Colombia",female,2017-11-13
Good music for u,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Alexandria, Egypt",male,2016-08-17
bahut he gatiya app hai ek gana tak baja har jaghai pasie mangata hai bekh manga,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Frankfurt, Germany",male,2015-10-17
Nice,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Phuket, Thailand",male,2016-03-21
💚💙❤️🕊️🙏👼,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Guadalajara, Mexico",male,2017-09-12
Love it,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Perth, Australia",female,2018-06-15
حسين,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Mexico City, Mexico",male,2017-06-12
nice music and good qaulity,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Jacksonville, United States",male,2017-08-30
Apple Music is great for price and Hi Fi Sounds its really immersive when you listening to your favorite albums on this app,positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Asunción, Paraguay",female,2018-02-10
Sounds excellent through my Bluetooth headphones and Motorola device that employ LDAC and aptX Adaptive codec (Android only). Thank you for making service available on Android and exploiting capabilities of OS.,positivo,positivo,3,"lossless, powerful, stable, regular, suggestions, personalized, choice, smooth, options, product","Bogotá, Colombia",female,2018-03-27
I ❤️ LOVE THIS APP. IT IS WORTH THE MONEY YOU PAY FOR IT. STOP PLAYING GET RID OF THE OTHER APPS. AND GET THIS APPLE MUSIC APP.,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Warsaw, Poland",male,2015-07-27
Good app to be used,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Madrid, Spain",male,2015-10-28
Love,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Buenos Aires, Argentina",female,2018-03-18
கோவிந்தா,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Ottawa, Canada",male,2017-05-26
🍎🔔🍏,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Zurich, Switzerland",male,2015-09-18
"I Love Apple Music! 😍 It's Worth Every Penny! I've had other music apps, They Don't Even Compare. I Use This App Every Day! Ty Appe🔥",positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Toronto, Canada",male,2017-07-01
"This app came a long way, but it's all good now 💯",positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Quebec City, Canada",male,2017-01-02
good app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Kathmandu, Nepal",male,2016-01-24
Amazing super easy to use,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Windhoek, Namibia",male,2016-07-06
The best music application ever ❤️‍🔥,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Sydney, Australia",female,2018-05-06
Best Music App for me,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Denver, United States",male,2017-04-11
Very good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Córdoba, Argentina",female,2018-01-14
It's a good app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Mombasa, Kenya",male,2016-08-19
👍🏼✌🏼👍🏼,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Montreal, Canada",female,2017-10-04
The app is good 👍,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Bangkok, Thailand",male,2016-02-05
snoopy' coaster,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Hamburg, Germany",male,2015-08-03
Good app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Chennai, India",male,2016-01-06
Love it! Listen to all my worship songs on here.,positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Sydney, Australia",female,2018-04-13
Sound quality is just superb,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Queenstown, New Zealand",female,2018-05-01
Love the music and just all out of ove the app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Casablanca, Morocco",male,2016-07-28
It's really awesome,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Jeddah, Saudi Arabia",male,2016-04-16
I've never seen any music app better than this one and it's the best so I rate this app 5 stars......But I would request the bill to be R50 not R70 In South Africa and I think that way I'll be able to pay for it after this 1 month free trial.,positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Hanoi, Vietnam",male,2015-12-27
